secid,date,ticker,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
207008,20150810,IGT,0,1,,0,820,18.63,19.01,18.8,18.98,1430201,0.012267,1,198596,1
207008,20150811,IGT,0,1,,0,820,18.59,20.03,19.02,19.51,5356724,0.027924,1,198596,1
207008,20150812,IGT,0,1,,0,820,18.99,19.978,19.37,19.72,1802001,0.010764,1,198596,1
207008,20150813,IGT,0,1,,0,820,19.52,19.95,19.72,19.71,617934,-0.000507,1,198596,1
207008,20150814,IGT,0,1,,0,820,19.54,19.8,19.66,19.58,368796,-0.006596,1,198596,1
207008,20150817,IGT,0,1,,0,820,19.3,19.774,19.5,19.45,630825,-0.006639,1,198596,1
207008,20150818,IGT,0,1,,0,820,18.9,19.36,19.02,19.28,1246341,-0.00874,1,198596,1
207008,20150819,IGT,0,1,,0,820,18.24,18.93,18.78,18.49,1623343,-0.040975,1,198596,1
207008,20150820,IGT,0,1,,0,820,17.375,18.5,18.39,17.46,1935726,-0.055706,1,198596,1
207008,20150821,IGT,0,1,,0,820,16.83,17.53,17.32,17.22,1851812,-0.013746,1,198596,1
207008,20150824,IGT,0,1,,0,820,15.12,16.68,15.76,16.13,2552368,-0.051684,1,198596,1.012399
207008,20150825,IGT,0,1,,0,820,16.21,17.03,16.84,16.22,1702084,0.00558,1,198596,1.012399
207008,20150826,IGT,0,1,,0,820,16.04,16.54,16.42,16.5,929123,0.017263,1,198596,1.012399
207008,20150827,IGT,0,1,,0,820,16.46,16.94,16.75,16.76,1175253,0.015758,1,198596,1.012399
207008,20150828,IGT,0,1,,0,820,16.67,17.15,16.67,16.99,335212,0.013723,1,198596,1.012399
207008,20150831,IGT,0,1,,0,820,16.7703,17.02,16.98,16.98,542639,-0.000589,1,198596,1.012399
207008,20150901,IGT,0,1,,0,820,16.2,16.67,16.6,16.44,916262,-0.031802,1,198596,1.012399
207008,20150902,IGT,0,1,,0,820,16.41,16.93,16.54,16.93,465553,0.029805,1,198596,1.012399
207008,20150903,IGT,0,1,,0,820,16.9,17.3,16.96,16.97,693810,0.002363,1,198596,1.012399
207008,20150904,IGT,0,1,,0,820,16.67,17.09,16.85,16.82,531221,-0.008839,1,198596,1.012399
207008,20150908,IGT,0,1,,0,820,16.73,17.05,17.03,16.88,523668,0.003567,1,198596,1.012399
207008,20150909,IGT,0,1,,0,820,16.65,17.13,16.95,16.81,730589,-0.004147,1,198596,1.012399
207008,20150910,IGT,0,1,,0,820,16.43,16.93,16.8,16.72,569539,-0.005354,1,198596,1.012399
207008,20150911,IGT,0,1,,0,820,16.45,16.72,16.63,16.54,579552,-0.010765,1,198596,1.012399
207008,20150914,IGT,0,1,,0,820,16.24,16.75,16.55,16.44,645325,-0.006046,1,198596,1.012399
207008,20150915,IGT,0,1,,0,820,16.38,17.01,16.47,16.88,676919,0.026764,1,198596,1.012399
207008,20150916,IGT,0,1,,0,820,16.578,17.42,16.96,17.21,783909,0.01955,1,198596,1.012399
207008,20150917,IGT,0,1,,0,820,17.12,17.42,17.24,17.2,545962,-0.000581,1,198596,1.012399
207008,20150918,IGT,0,1,,0,820,16.96,17.42,17.37,17.14,837120,-0.003488,1,198596,1.012399
207008,20150921,IGT,0,1,,0,820,16.9,17.44,16.97,17.34,788434,0.011669,1,198596,1.012399
207008,20150922,IGT,0,1,,0,820,16.99,17.3,17.14,17.15,678279,-0.010957,1,198596,1.012399
207008,20150923,IGT,0,1,,0,820,16.59,17.22,17.19,16.78,854215,-0.021574,1,198596,1.012399
207008,20150924,IGT,0,1,,0,820,16.55,17.09,16.7,16.98,494955,0.011919,1,198596,1.012399
207008,20150925,IGT,0,1,,0,820,16.495,17.08,17.08,16.63,608278,-0.020613,1,198596,1.012399
207008,20150928,IGT,0,1,,0,820,15.72,16.69,16.57,15.88,1217954,-0.045099,1,198596,1.012399
207008,20150929,IGT,0,1,,0,820,15.36,15.96,15.9,15.57,1096668,-0.019521,1,198596,1.012399
207008,20150930,IGT,0,1,,0,820,15.25,15.83,15.56,15.33,1364564,-0.015414,1,198596,1.012399
207008,20151001,IGT,0,1,,0,820,14.75,15.42,15.32,14.92,1585371,-0.026745,1,198596,1.012399
207008,20151002,IGT,0,1,,0,820,14.34,15.19,14.95,15.16,949269,0.016086,1,198596,1.012399
207008,20151005,IGT,0,1,,0,820,15.23,16.28,15.55,16.08,1027126,0.060686,1,198596,1.012399
207008,20151006,IGT,0,1,,0,820,15.91,16.29,16.08,16.22,699998,0.008706,1,198596,1.012399
207008,20151007,IGT,0,1,,0,820,15.845,16.44,16.31,16.3,459491,0.004932,1,198596,1.012399
207008,20151008,IGT,0,1,,0,820,16.14,16.43,16.25,16.31,758558,0.000614,1,198596,1.012399
207008,20151009,IGT,0,1,,0,820,16.1,16.69,16.38,16.68,473071,0.022686,1,198596,1.012399
207008,20151012,IGT,0,1,,0,820,16.39,16.75,16.68,16.49,467663,-0.011391,1,198596,1.012399
207008,20151013,IGT,0,1,,0,820,16.32,16.81,16.39,16.38,419767,-0.006671,1,198596,1.012399
207008,20151014,IGT,0,1,,0,820,16.3,16.68,16.39,16.5,544391,0.007326,1,198596,1.012399
207008,20151015,IGT,0,1,,0,820,16.38,16.87,16.54,16.78,436141,0.01697,1,198596,1.012399
207008,20151016,IGT,0,1,,0,820,16.4,16.93,16.75,16.57,354218,-0.012515,1,198596,1.012399
207008,20151019,IGT,0,1,,0,820,16.26,16.54,16.48,16.54,237255,-0.00181,1,198596,1.012399
207008,20151020,IGT,0,1,,0,820,16.45,16.85,16.58,16.66,529448,0.007255,1,198596,1.012399
207008,20151021,IGT,0,1,,0,820,16.175,16.85,16.7,16.19,421340,-0.028211,1,198596,1.012399
207008,20151022,IGT,0,1,,0,820,16.02,16.42,16.36,16.06,415346,-0.00803,1,198596,1.012399
207008,20151023,IGT,0,1,,0,820,15.94,16.5,16.28,16.46,506692,0.024907,1,198596,1.012399
207008,20151026,IGT,0,1,,0,820,16.23,16.56,16.56,16.47,346451,0.000608,1,198596,1.012399
207008,20151027,IGT,0,1,,0,820,16.14,16.62,16.4,16.62,405749,0.009108,1,198596,1.012399
207008,20151028,IGT,0,1,,0,820,16.31,16.91,16.7,16.65,451550,0.001805,1,198596,1.012399
